id,baseDomain,originAttributes,name,value,host,path,expiry,lastAccessed,creationTime,isSecure,isHttpOnly,inBrowserElement,sameSite
1,riot.im,,__cfduid,d1481b8bc7ad2c3c4a76a4762c68359b51533117954,.riot.im,/,1564653954,1533117959826976,1533117959826976,0,1,0,0
2,discordapp.com,,__cfduid,d30325f8ca08e073785414d1ca820ebcb1533117959,.discordapp.com,/,1564653959,1533117959999378,1533117959999275,0,1,0,0
3,wikipedia.org,,WMF-Last-Access,01-Aug-2018,www.wikipedia.org,/,1535846400,1533117960469368,1533117960469368,1,1,0,0
4,wikipedia.org,,WMF-Last-Access-Global,01-Aug-2018,.wikipedia.org,/,1535846400,1533117960469476,1533117960469476,1,1,0,0
5,creativecommons.org,,__cfduid,d354a5fc4fa31bc459cd5a4370bb557091533117960,.creativecommons.org,/,1564653960,1533117960590276,1533117960590276,0,1,0,0
13,google.com,,CONSENT,WP.26fd3c,.google.com,/,2145916800,1533117971004152,1533117971004152,0,0,0,0
14,vox.com,,_chorus_geoip_continent,EU,www.vox.com,/,1533204373,1533117973894944,1533117972415671,0,0,0,0
15,mozilla.org,,_ga,GA1.2.1296000722.1533117964,.mozilla.org,/,1596190033,1533118033283769,1533117963700128,0,0,0,0
16,mozilla.org,,_gid,GA1.2.506101273.1533117964,.mozilla.org,/,1533204433,1533118033283928,1533117963700331,0,0,0,0
17,mozilla.org,,_gat_UA-36116321-1,1,.mozilla.org,/,1533118093,1533118033290661,1533118033290661,0,0,0,0
